;code;character;description
641;128192;📀;dvd
642;128193;📁;file folder
643;128194;📂;open file folder
646;128197;📅;calendar
648;128199;📇;card index
649;128200;📈;chart upwards trend
650;128201;📉;chart downwards trend
651;128202;📊;bar chart
652;128203;📋;clipboard
653;128204;📌;pushpin
654;128205;📍;round pushpin
655;128206;📎;paperclip
656;128207;📏;straight ruler
657;128208;📐;triangular ruler
658;128209;📑;bookmark tabs
659;128210;📒;ledger
660;128211;📓;notebook
661;128212;📔;notebook decorative cover
662;128213;📕;closed book
663;128214;📖;open book
667;128218;📚;books
669;128220;📜;scroll
670;128221;📝;memo
671;128222;📞;telephone receiver
672;128223;📟;pager
673;128224;📠;fax machine
674;128225;📡;satellite antenna
675;128226;📢;public address loudspeaker
676;128227;📣;cheering megaphone
677;128228;📤;outbox tray
678;128229;📥;inbox tray
679;128230;📦;package
680;128231;📧;e-mail symbol
681;128232;📨;incoming envelope
682;128233;📩;envelope downwards arrow
683;128234;📪;closed mailbox lowered flag
687;128238;📮;postbox
688;128239;📯;postal horn
689;128240;📰;newspaper
690;128241;📱;mobile phone
691;128242;📲;mobile phone rightwards arrow left
692;128243;📳;vibration mode
693;128244;📴;mobile phone
694;128245;📵;mobile phones
696;128247;📷;camera
697;128248;📸;camera flash
698;128249;📹;video camera
699;128250;📺;television
700;128251;📻;radio
701;128252;📼;videocassette
708;128261;🔅;low brightness symbol
709;128262;🔆;high brightness symbol
711;128264;🔈;speaker
715;128268;🔌;electric plug
716;128269;🔍;left-pointing magnifying glass
717;128270;🔎;right-pointing magnifying glass
718;128271;🔏;lock ink pen
719;128272;🔐;closed lock key
720;128273;🔑;key
721;128274;🔒;lock
722;128275;🔓;open lock
723;128276;🔔;bell
724;128277;🔕;bell cancellation stroke
725;128278;🔖;bookmark
726;128279;🔗;link symbol
733;128286;🔞;one eighteen symbol
740;128293;🔥;fire
741;128294;🔦;electric torch
742;128295;🔧;wrench
743;128296;🔨;hammer
744;128297;🔩;nut bolt
745;128298;🔪;hocho
746;128299;🔫;pistol
747;128300;🔬;microscope
748;128301;🔭;telescope
749;128302;🔮;crystal ball
752;128305;🔱;trident emblem
765;128331;🕋;kaaba
766;128332;🕌;mosque
767;128333;🕍;synagogue
768;128334;🕎;menorah nine branches
793;128378;🕺;man dancing
794;128405;🖕;reversed hand middle finger extended
795;128406;🖖;raised hand part middle ring fingers
796;128420;🖤;black heart
797;128507;🗻;mount fuji
798;128508;🗼;tokyo tower
801;128509;🗽;statue liberty
803;128511;🗿;moyai
804;128512;😀;grinning face
805;128513;😁;grinning face smiling eyes
806;128514;😂;face tears joy
807;128515;😃;smiling face open mouth
808;128516;😄;smiling face open mouth smiling eyes
809;128517;😅;smiling face open mouth cold sweat
810;128518;😆;smiling face open mouth tightly-closed eyes
811;128519;😇;smiling face halo
812;128520;😈;smiling face horns
813;128521;😉;winking face
814;128522;😊;smiling face smiling eyes
815;128523;😋;face savouring delicious food
816;128524;😌;relieved face
817;128525;😍;smiling face heart-shaped eyes
818;128526;😎;smiling face sunglasses
819;128527;😏;smirking face
820;128528;😐;neutral face
821;128529;😑;expressionless face
822;9748;☔;umbrella rain drops
823;9749;☕;hot beverage
824;128530;😒;unamused face
825;128531;😓;face cold sweat
826;128532;😔;pensive face
827;128533;😕;confused face
828;128534;😖;confounded face
829;128535;😗;kissing face
830;128536;😘;face throwing kiss
831;128537;😙;kissing face smiling eyes
832;128538;😚;kissing face closed eyes
833;128539;😛;face stuck-out tongue
834;128540;😜;face stuck-out tongue winking eye
835;128541;😝;face stuck-out tongue tightly-closed eyes
836;128542;😞;disappointed face
837;128543;😟;worried face
838;128544;😠;angry face
839;128545;😡;pouting face
840;128546;😢;crying face
841;128547;😣;persevering face
842;128548;😤;face look triumph
843;128549;😥;disappointed relieved face
844;128550;😦;frowning face open mouth
845;128551;😧;anguished face
846;128552;😨;fearful face
847;128553;😩;weary face
848;128554;😪;sleepy face
849;128555;😫;tired face
850;128556;😬;grimacing face
851;128557;😭;loudly crying face
852;128558;😮;face open mouth
853;128559;😯;hushed face
854;128560;😰;face open mouth cold sweat
855;128561;😱;face screaming fear
856;128562;😲;astonished face
857;128563;😳;flushed face
858;128564;😴;sleeping face
859;128565;😵;dizzy face
860;128566;😶;face without mouth
861;128567;😷;face medical mask
862;128568;😸;grinning cat face smiling eyes
863;128569;😹;cat face tears joy
864;128570;😺;smiling cat face open mouth
865;128571;😻;smiling cat face heart-shaped eyes
866;128572;😼;cat face wry smile
867;128573;😽;kissing cat face closed eyes
868;128574;😾;pouting cat face
869;128575;😿;crying cat face
870;128576;🙀;weary cat face
871;128577;🙁;slightly frowning face
872;128578;🙂;slightly smiling face
873;128579;🙃;upside-down face
886;128587;🙋;happy person raising one hand
887;128588;🙌;person raising hands celebration
888;128589;🙍;person frowning
889;128590;🙎;person pouting face
890;128591;🙏;person folded hands
891;9855;♿;wheelchair symbol
892;128640;🚀;rocket
893;128641;🚁;helicopter
894;128642;🚂;steam locomotive
895;128643;🚃;railway car
896;128644;🚄;high-speed train
897;128645;🚅;high-speed train bullet nose
898;128646;🚆;train
899;128647;🚇;metro
900;128648;🚈;light rail
901;128649;🚉;station
902;128650;🚊;tram
903;128651;🚋;tram car
904;128652;🚌;bus
905;128653;🚍;oncoming bus
906;128654;🚎;trolleybus
907;128655;🚏;bus stop
908;128656;🚐;minibus
909;128657;🚑;ambulance
910;128658;🚒;fire engine
911;9875;⚓;anchor
912;128659;🚓;police car
913;128660;🚔;oncoming police car
914;128661;🚕;taxi
915;128662;🚖;oncoming taxi
916;128663;🚗;automobile
917;128664;🚘;oncoming automobile
918;128665;🚙;recreational vehicle
919;128666;🚚;delivery truck
920;128667;🚛;articulated lorry
921;128668;🚜;tractor
922;128669;🚝;monorail
923;128670;🚞;mountain railway
924;128671;🚟;suspension railway
925;9889;⚡;high voltage sign
926;128672;🚠;mountain cableway
927;128673;🚡;aerial tramway
928;128674;🚢;ship
929;128675;🚣;rowboat
930;128676;🚤;speedboat
931;128677;🚥;horizontal traffic light
932;128678;🚦;vertical traffic light
933;128679;🚧;construction sign
936;128680;🚨;police cars revolving light
937;128681;🚩;triangular flag post
938;128682;🚪;door
939;128683;🚫;entry sign
940;128684;🚬;smoking symbol
941;128685;🚭;smoking symbol
942;128686;🚮;put litter place symbol
943;128687;🚯;litter symbol
944;128688;🚰;potable water symbol
945;128689;🚱;non-potable water symbol
946;128690;🚲;bicycle
947;128691;🚳;bicycles
948;128692;🚴;bicyclist
949;128693;🚵;mountain bicyclist
950;128694;🚶;pedestrian
951;128695;🚷;pedestrians
952;128696;🚸;children crossing
953;9917;⚽;soccer ball
954;9918;⚾;baseball
957;128699;🚻;restroom
958;128700;🚼;baby symbol
959;128701;🚽;toilet
960;9924;⛄;snowman without snow
961;9925;⛅;sun behind cloud
962;128702;🚾;water closet
963;128703;🚿;shower
964;128704;🛀;bath
965;128705;🛁;bathtub
966;128706;🛂;passport control
967;128707;🛃;customs
968;128708;🛄;baggage claim
969;128709;🛅;left luggage
971;128716;🛌;sleeping accommodation
974;128722;🛒;shopping trolley
975;9940;⛔;entry
977;9962;⛪;church
978;128747;🛫;airplane departure
979;128748;🛬;airplane arriving
981;9970;⛲;fountain
982;9971;⛳;flag hole
983;128756;🛴;scooter
984;9973;⛵;sailboat
985;128757;🛵;motor scooter
986;128758;🛶;canoe
987;128759;🛷;sled
988;128760;🛸;flying saucer
989;9978;⛺;tent
990;128761;🛹;skateboard
991;9981;⛽;fuel pump
993;129510;🧦;socks
994;128580;🙄;face rolling eyes
996;9994;✊;raised fist
997;9995;✋;raised hand
998;128581;🙅;face good gesture
999;128582;🙆;face ok gesture
1000;128583;🙇;person bowing deeply
1001;128584;🙈;see-no-evil monkey
1002;129511;🧧;red gift envelope
1003;128585;🙉;hear-no-evil monkey
1005;128586;🙊;speak-no-evil monkey
1006;10024;✨;sparkles
